#NAME	CHROM	STRAND	TX_START	TX_END
OR4F5	1	+	69090	70008
FO538757.3	1	+	182392	184158
FO538757.2	1	-	184924	195411
OR4F29	1	-	450739	451678
OR4F16	1	-	685715	686654
SAMD11	1	+	925737	944575
NOC2L	1	-	944203	959290
KLHL17	1	+	960586	965715
PLEKHN1	1	+	966496	975108
PERM1	1	-	975204	981029
HES4	1	-	998963	1000111
ISG15	1	+	1013422	1014540
AGRN	1	+	1020122	1056116
RNF223	1	-	1070965	1074307
C1orf159	1	-	1082699	1106127
TTLL10	1	+	1173905	1197933
TNFRSF18	1	-	1203507	1206571
TNFRSF4	1	-	1211325	1214132
SDF4	1	-	1216930	1232031
B3GALT6	1	+	1232264	1235041
FAM132A	1	-	1242452	1246722
UBE2J2	1	-	1255163	1273726
SCNN1D	1	+	1280435	1292019
ACAP3	1	-	1292375	1308018
PUSL1	1	+	1308566	1311677
CPSF3L	1	-	1311596	1324691
CPTP	1	+	1324766	1328897
TAS1R3	1	+	1331313	1335306
DVL1	1	-	1335275	1349350
MXRA8	1	-	1352690	1358535
AURKAIP1	1	-	1373736	1375173
CCNL2	1	-	1386494	1399312
MRPL20	1	-	1401907	1407313
ANKRD65	1	-	1418879	1421091
TMEM88B	1	+	1426127	1427787
VWA1	1	+	1435670	1442882
ATAD3C	1	+	1449688	1470158
ATAD3B	1	+	1471768	1496202
ATAD3A	1	+	1512150	1534685
TMEM240	1	-	1535206	1540453
SSU72	1	-	1541672	1574869
AL645728.1	1	+	1579755	1580046
C1orf233	1	-	1598011	1600096
MIB2	1	+	1615442	1630605
MMP23B	1	+	1632180	1701810
CDK11B	1	-	1635586	1659012
SLC35E2B	1	-	1661478	1692728
CDK11A	1	-	1702880	1724324
SLC35E2	1	-	1732241	1745992
NADK	1	-	1751231	1778790
GNB1	1	-	1785285	1891056
CALML6	1	+	1914826	1917294
TMEM52	1	-	1917590	1919273
CFAP74	1	-	1921950	2003837
GABRD	1	+	2019323	2030751
PRKCZ	1	+	2050469	2185395
FAAP20	1	-	2189547	2194774
SKI	1	+	2228694	2310119
MORN1	1	-	2321252	2391707
RER1	1	+	2394004	2403216
PEX10	1	-	2404818	2412571
PLCH2	1	+	2476314	2505525
PANK4	1	-	2508532	2526628
HES5	1	-	2528744	2530245
TNFRSF14	1	+	2556365	2563829
FAM213B	1	+	2586774	2591468
MMEL1	1	-	2590642	2632990
TTC34	1	-	2635975	2789755
ACTRT2	1	+	3021482	3022903
PRDM16	1	+	3069210	3438621
ARHGEF16	1	+	3454425	3481113
MEGF6	1	-	3489925	3611495
TPRG1L	1	+	3625001	3630127
WRAP73	1	-	3630766	3650073
TP73	1	+	3652519	3736201
CCDC27	1	+	3752397	3771644
SMIM1	1	+	3772787	3775982
LRRC47	1	-	3778557	3796504
CEP104	1	-	3812080	3857199
DFFB	1	+	3857280	3885429
C1orf174	1	-	3889124	3900285
AJAP1	1	+	4655044	4792534
NPHP4	1	-	5862817	5992471
KCNAB2	1	+	6034282	6101179
CHD5	1	-	6101792	6180123
RPL22	1	-	6185019	6199612
RNF207	1	+	6206175	6221299
ICMT	1	-	6221192	6235940
HES3	1	+	6244191	6245578
GPR153	1	-	6247345	6260975
ACOT7	1	-	6264272	6385813
HES2	1	-	6415231	6419919
ESPN	1	+	6424787	6460944
TNFRSF25	1	-	6461150	6466175
PLEKHG5	1	-	6467121	6491700
NOL9	1	-	6521346	6554535
TAS1R1	1	+	6555180	6579757
ZBTB48	1	+	6580047	6589280
KLHL21	1	-	6590723	6602869
PHF13	1	+	6613684	6624033
THAP3	1	+	6625191	6635586
DNAJC11	1	-	6634167	6701924
CAMTA1	1	+	6785323	7769706
VAMP3	1	+	7771268	7781432
PER3	1	+	7784702	7845177
UTS2	1	-	7847765	7853431
TNFRSF9	1	-	7919846	7940866
PARK7	1	+	7961968	7985111
ERRFI1	1	-	8011718	8026308
SLC45A1	1	+	8324329	8344167
RERE	1	-	8354625	8817643
ENO1	1	-	8861001	8878690
CA6	1	+	8945882	8975092
SLC2A7	1	-	9003299	9026345
SLC2A5	1	-	9035106	9069716
GPR157	1	-	9100304	9129170
H6PD	1	+	9234774	9271337
SPSB1	1	+	9355706	9367575
SLC25A33	1	+	9539481	9585179
TMEM201	1	+	9588921	9614849
PIK3CD	1	+	9651744	9728919
CLSTN1	1	-	9729027	9823984
AL357140.1	1	-	9827609	9828258
CTNNBIP1	1	-	9850658	9878176
LZIC	1	-	9930252	9943407
NMNAT1	1	+	9943427	9985498
RBP7	1	+	9997215	10016020
UBE4B	1	+	10032831	10180367
KIF1B	1	+	10210804	10377937
PGD	1	+	10399079	10420144
APITD1-CORT	1	+	10430101	10452153
APITD1	1	+	10430442	10442809
CORT	1	+	10449718	10451902
DFFA	1	-	10456521	10472526
PEX14	1	+	10474886	10630758
CASZ1	1	-	10636603	10796648
C1orf127	1	-	10946472	10982037
TARDBP	1	+	11012399	11026420
RP4-635E18.9	1	+	11022143	11030526
MASP2	1	-	11026522	11047223
SRM	1	-	11054588	11060024
EXOSC10	1	-	11066617	11099869
MTOR	1	-	11106534	11262507
ANGPTL7	1	+	11189340	11195981
UBIAD1	1	+	11273205	11288434
PTCHD2	1	+	11479237	11537584
FBXO2	1	-	11648366	11654682
FBXO44	1	+	11654900	11663326
FBXO6	1	+	11664123	11674354
MAD2L2	1	-	11674747	11691609
DRAXIN	1	+	11691728	11725857
AGTRAP	1	+	11736154	11750765
C1orf167	1	+	11761786	11789584
MTHFR	1	-	11786602	11806058
CLCN6	1	+	11806210	11843144
NPPA	1	-	11845708	11847783
NPPB	1	-	11857463	11858931
KIAA2013	1	-	11920182	11926403
PLOD1	1	+	11934752	11975537
MFN2	1	+	11980311	12013508
MIIP	1	+	12019465	12032045
TNFRSF8	1	+	12063376	12144207
TNFRSF1B	1	+	12167002	12209228
VPS13D	1	+	12230066	12512047
DHRS3	1	-	12567909	12617731
AADACL4	1	+	12644546	12667086
AADACL3	1	+	12716142	12728400
C1orf158	1	+	12746214	12763699
PRAMEF12	1	+	12774840	12777906
PRAMEF1	1	+	12791396	12796628
PRAMEF11	1	-	12824604	12831410
HNRNPCL1	1	-	12847407	12848725
PRAMEF2	1	+	12857085	12861909
PRAMEF4	1	-	12879223	12886201
PRAMEF10	1	-	12892895	12898270
PRAMEF7	1	+	12917624	12920480
PRAMEF6	1	-	12938471	12947580
PRAMEF27	1	-	13049475	13056491
HNRNPCL3	1	+	13060868	13062229
PRAMEF25	1	+	13070852	13077884
HNRNPCL2	1	-	13115495	13116854
PRAMEF26	1	-	13148904	13155961
HNRNPCL4	1	-	13164585	13165467
PRAMEF9	1	+	13172454	13179464
PRAMEF18	1	-	13222694	13226133
PRAMEF5	1	+	13254211	13263314
PRAMEF8	1	-	13281301	13285174
PRAMEF15	1	+	13315580	13322598
PRAMEF14	1	-	13342365	13347134
PRAMEF19	1	-	13369066	13371693
PRAMEF17	1	+	13389631	13392629
PRAMEF20	1	+	13416350	13421328
LRRC38	1	-	13474976	13514048
PDPN	1	+	13583756	13617953
PRDM2	1	+	13704854	13825079
KAZN	1	+	14598703	15118043
TMEM51	1	+	15153788	15220480
FHAD1	1	+	15251784	15397529
EFHD2	1	+	15409894	15430343
CTRC	1	+	15438438	15446654
CELA2A	1	+	15456728	15472091
CELA2B	1	+	15476100	15491400
CASP9	1	-	15492269	15524295
DNAJC16	1	+	15526812	15571733
AGMAT	1	-	15572352	15585110
DDI2	1	+	15617499	15669044
